keys,en,es
Text/100/text,"Well well well. Greetings, little one!",Vaya vaya vaya. ¡Saludos pequeñín!
Text/101/text,Who's......this?,¿Quién....eres?
Text/102/text,Who am I indeed! Juuust see me as a viewer for now,Ooooh pero quién soy ¿eh? Pooor ahora tan sólo soy tu audiencia
Text/103/text,You should be asking who you are!,¡Deberías preguntarte quien eres tú!
Text/104/text,I.....don't know,No...lo sé
Text/105/text,"I see. In that case, just play around and get used to yourself!","Ya veo. Hmmmm. Bueno, por ahora sólo ve acostumbrándote a tu ser"
Text/106/text,I shall be contacting you soon!,¡Nos vemos luego!
Text/107/text,......Myself?,Mi....¿Ser?
,,
Text/108/text,Hmm? How strange,¿Hmm? Oh vaya
Text/109/text,"My my, so this is what happens...",Con que esto es lo que sucede.....
Text/10a/text,"Very well then, show me what you have in store!","Vamos, demuéstrame todo lo que tienes"
Text/10b/text,Huh?,¿Eh?
,,
Text/10c/text,Congratulations!,¡Felicidades!
Text/10d/text,You made it through!,¡Lo lograste!
Text/10e/text,"I am curious though, what might your name be?",Aunque me pregunto ¿Cómo te llamas?
Text/10f/text,{Characters.CharName}....an interesting name to be sure,{Characters.CharName}......vaya vaya....
Text/110/text,"Well then, {Characters.CharName}, may you have","Entonces, {Characters.CharName}. Que tengas"
Text/111/text,A wonderful life!,¡Una maravillosa vida!
,,
Text/112/text,Yeah so......things are messed up here,Ahhh.....todo aquí va mal
Text/113/text,WAY more than I thought,MUCHO peor de lo que me esperaba
Text/114/text,Don't have much time to explain but,"No tengo much tiempo para explicar, pero"
Text/115/text,The two exits' failsafes have activated in response,Se activaron dos salidas como respaldo
Text/116/text,"Find one, get through its trial, and leave","Encuentra una, completa su prueba, y escapa"
Text/117/text,I believe in you,Confío en tí
,,
Text/118/text,You are walking a path that will test your mind,Cruzar este camino pondrá tu mente a prueba
,,
Text/119/text,This path will test your strength,Cruzar este camino pondrá tu fuerza a prueba
,,
Text/11a/text,I sense a rumbling past this area,Siento un retumbar a través de esta área
Text/11b/text,You won't be able to come back once you enter,No podrás regresar depués de entrar
Text/11c/text,Home approaches,Casi en casa
Text/11d/text,So this is where you want to go?,Entonces ¿Quieres ir por aquí?
Choice/11e/text,Step back,Retroceder
Choice/11e/disabled_text,,
Text/11f/text,Not yet,Aún no
Text/120/text,...,...
Choice/121/text,Go on,Seguir
Choice/121/disabled_text,,
Text/122/text,"Ok then, guess we're going",Está bien. Iremos
Text/123/text,....Thanks,....Gracias
Text/124/text,We are soooo clooose,Taaaaaaan ceeeerca
Text/125/text,Shall we?,¿Quieres hacerlo?
Choice/126/text,Step back,Retroceder
Choice/126/disabled_text,,
Text/127/text,Not yet,Aún no
Text/128/text,Oooh well,Oooh bueno
Choice/129/text,Go on,Seguir
Choice/129/disabled_text,,
Text/12a/text,"Ok then, guess we're going",Está bien. Iremos
Text/12b/text,Yaaaay,Yaaaay
Text/12c/text,You would be facing this place alone. Are you sure?,Estarás enfrentando este lugar por tu cuenta. ¿De verdad quieres seguir?
Choice/12d/text,Step back,Aún no
Choice/12d/disabled_text,,
Choice/12e/text,Go alone,Continuar
Choice/12e/disabled_text,,
,,
Text/12f/text,Helo {GameManager.Data.Party[0].Base.Name},
Text/130/text,Wanna fight?,
Choice/131/text,Yes,
Choice/131/disabled_text,,
Text/132/text,Let's fight,
Text/133/text,Farewell {GameManager.Data.Party[0].Base.Name},
Choice/134/text,No,
Choice/134/disabled_text,,
Text/135/text,Let's not,
,,
Text/136/text,You win!,¡Ganaste!
,,
